full_name,team,player_id
Alessia Russo,Arsenal,WSL_0018
Caitlin Foord,Arsenal,WSL_0017
Chloe Kelly,Arsenal,WSL_0016
Emily Fox,Arsenal,WSL_0001
Frida Maanum,Arsenal,WSL_0013
Georgia Stanway,Arsenal,WSL_0344
Géraldine Reuteler,Arsenal,WSL_0350
Isabella Damm,Arsenal,WSL_0362
Katie Reid,Arsenal,WSL_0008
Kim Little,Arsenal,WSL_0012
Kyra Cooney-Cross,Arsenal,WSL_0014
Leah Williamson,Arsenal,WSL_0004
Lisa Baum,Arsenal,WSL_0353
Lotte Wubben-Moy,Arsenal,WSL_0002
Mariona Caldentey,Arsenal,WSL_0011
Michelle Agyemang,Arsenal,WSL_0020
Misa Rodríguez,Arsenal,WSL_0369
Olivia Smith,Arsenal,WSL_0015
Ona Batlle,Arsenal,WSL_0351
Selina Cerci,Arsenal,WSL_0348
Smilla Holmberg,Arsenal,WSL_0009
Sophie Harwood,Arsenal,WSL_0010
Steph Catley,Arsenal,WSL_0005
Stina Blackstenius,Arsenal,WSL_0019
Taylor Hinds,Arsenal,WSL_0007
Akane Okuma,Aston Villa,WSL_0367
Amalie Vangsgaard,Aston Villa,WSL_0340
Anna Patten,Aston Villa,WSL_0024
Chasity Grant,Aston Villa,WSL_0043
Ellie Roebuck,Aston Villa,WSL_0022
Emily Ramsey,Aston Villa,WSL_0154
Georgia Mullett,Aston Villa,WSL_0042
Jenna Nighswonger,Aston Villa,WSL_0029
Jill Baijings,Aston Villa,WSL_0035
Justine Kielland,Aston Villa,WSL_0345
Kamilla Melgård,Aston Villa,WSL_0334
Katie Scott,Aston Villa,WSL_0031
Lily Clark,Aston Villa,WSL_0023
Lucia Kendall,Aston Villa,WSL_0036
Lucy Parker,Aston Villa,WSL_0026
Lynn Wilms,Aston Villa,WSL_0025
Mathilde Harviken,Aston Villa,WSL_0363
Maya Hijikata,Aston Villa,WSL_0040
Miri Taylor,Aston Villa,WSL_0037
Missy Bo Kearns,Aston Villa,WSL_0034
Noelle Maritz,Aston Villa,WSL_0027
Océane Deslandes,Aston Villa,WSL_0028
Oriane Jean-François,Aston Villa,WSL_0033
Rachel Daly,Aston Villa,WSL_0038
Rachel Maltby,Aston Villa,WSL_0030
Asato Miyagawa,Birmingham City,WSL_0056
Ava Baker,Birmingham City,WSL_0060
Batcheba Louis,Birmingham City,WSL_0058
Chelsea Cornet,Birmingham City,WSL_0053
Jade Rastocle,Birmingham City,WSL_0360
Katie Startup,Birmingham City,WSL_0249
Lee Geum-min,Birmingham City,WSL_0048
Lily Crosthwaite,Birmingham City,WSL_0052
Lisa Naalsund,Birmingham City,WSL_0272
Lucy Thomas,Birmingham City,WSL_0044
Marie Levasseur,Birmingham City,WSL_0361
Martha Harris,Birmingham City,WSL_0045
Millie Turner,Birmingham City,WSL_0277
Neve Herron,Birmingham City,WSL_0059
Océane Hurtré,Birmingham City,WSL_0055
Rebecca Holloway,Birmingham City,WSL_0051
Rebecca McKenna,Birmingham City,WSL_0054
Shannon Cooke,Birmingham City,WSL_0047
Simone Magill,Birmingham City,WSL_0050
Sophie Baggaley,Birmingham City,WSL_0372
Veatriki Sarri,Birmingham City,WSL_0057
Wilma Leidhammar,Birmingham City,WSL_0049
Aisha Masaka,Brighton and Hove Albion,WSL_0066
Bex Rayner,Brighton and Hove Albion,WSL_0072
Caitlin Hayes,Brighton and Hove Albion,WSL_0073
Carla Camacho,Brighton and Hove Albion,WSL_0077
Charlize Rule,Brighton and Hove Albion,WSL_0083
Chiamaka Nnadozie,Brighton and Hove Albion,WSL_0062
Eleanor Heeps,Brighton and Hove Albion,WSL_0301
Emilie Joramo,Brighton and Hove Albion,WSL_0085
Fran Kirby,Brighton and Hove Albion,WSL_0070
Fuka Tsunoda,Brighton and Hove Albion,WSL_0082
Hannah Poulter,Brighton and Hove Albion,WSL_0079
Jelena Čanković,Brighton and Hove Albion,WSL_0068
Kiko Seike,Brighton and Hove Albion,WSL_0069
Madison Haley,Brighton and Hove Albion,WSL_0076
Maelys Mpomé,Brighton and Hove Albion,WSL_0065
Maisie Symonds,Brighton and Hove Albion,WSL_0067
Manuela Vanegas,Brighton and Hove Albion,WSL_0063
Marisa Olislagers,Brighton and Hove Albion,WSL_0074
Marit Auée,Brighton and Hove Albion,WSL_0078
Melina Loeck,Brighton and Hove Albion,WSL_0081
Moeka Minami,Brighton and Hove Albion,WSL_0064
Nadia Krezyman,Brighton and Hove Albion,WSL_0338
Nadine Noordam,Brighton and Hove Albion,WSL_0071
Olaug Tvedten,Brighton and Hove Albion,WSL_0075
Olivia Johnson,Brighton and Hove Albion,WSL_0084
Rachel McLauchlan,Brighton and Hove Albion,WSL_0080
Anna Koivunen,Charlton Athletic,WSL_0370
Anna Pederson,Charlton Athletic,WSL_0100
Ashleigh Neville,Charlton Athletic,WSL_0378
Carla Humphrey,Charlton Athletic,WSL_0092
Charlotte Newsham,Charlton Athletic,WSL_0088
Elisha N'Dow,Charlton Athletic,WSL_0090
Ellie Mason,Charlton Athletic,WSL_0087
Emily van Egmond,Charlton Athletic,WSL_0381
Gillian Kenney,Charlton Athletic,WSL_0093
Gloria Siber,Charlton Athletic,WSL_0098
Grace Johnston,Charlton Athletic,WSL_0364
Jodie Hutton,Charlton Athletic,WSL_0095
Katie Lockwood,Charlton Athletic,WSL_0096
Kiera Skeels,Charlton Athletic,WSL_0097
Leah Davidson,Charlton Athletic,WSL_0373
Lizzie Waldie,Charlton Athletic,WSL_0102
Lorena Azzaro,Charlton Athletic,WSL_0376
Lucia Lobato,Charlton Athletic,WSL_0101
Lucy Fitzgerald,Charlton Athletic,WSL_0094
Mary McAteer,Charlton Athletic,WSL_0099
Mia Ross,Charlton Athletic,WSL_0089
Paula Partido,Charlton Athletic,WSL_0206
Sophie Whitehouse,Charlton Athletic,WSL_0086
Aggie Beever-Jones,Chelsea,WSL_0123
Alyssa Thompson,Chelsea,WSL_0111
Becky Spencer,Chelsea,WSL_0124
Chloe Sarwie,Chelsea,WSL_0125
Ellie Carpenter,Chelsea,WSL_0104
Erin Cuthbert,Chelsea,WSL_0109
Giulia Dragoni,Chelsea,WSL_0380
Hannah Hampton,Chelsea,WSL_0119
Kadeisha Buchanan,Chelsea,WSL_0120
Katie McCabe,Chelsea,WSL_0006
Keira Walsh,Chelsea,WSL_0121
Lauren James,Chelsea,WSL_0110
Lexi Potter,Chelsea,WSL_0122
Livia Peng,Chelsea,WSL_0103
Lucy Bronze,Chelsea,WSL_0118
Manaka Matsukubo,Chelsea,WSL_0346
Mayra Ramírez,Chelsea,WSL_0108
Melvine Malard,Chelsea,WSL_0265
Naomi Girma,Chelsea,WSL_0113
Nathalie Björn,Chelsea,WSL_0112
Nelly Las,Chelsea,WSL_0374
Sandy Baltimore,Chelsea,WSL_0114
Sjoeke Nüsken,Chelsea,WSL_0107
Veerle Buurman,Chelsea,WSL_0106
Wieke Kaptein,Chelsea,WSL_0115
Abbie Larkin,Crystal Palace,WSL_0140
Aimee Everett,Crystal Palace,WSL_0129
Allyson Swaby,Crystal Palace,WSL_0141
Annabel Blanchard,Crystal Palace,WSL_0137
Ashleigh Weerden,Crystal Palace,WSL_0133
Bethany England,Crystal Palace,WSL_0355
Emila Brown,Crystal Palace,WSL_0143
Hayley Ladd,Crystal Palace,WSL_0136
Hayley Nolan,Crystal Palace,WSL_0135
Jamie-Lee Napier,Crystal Palace,WSL_0127
Josie Green,Crystal Palace,WSL_0134
Justine Vanhaevermaet,Crystal Palace,WSL_0138
Kirsty Howat,Crystal Palace,WSL_0132
Lexi Lloyd-Smith,Crystal Palace,WSL_0358
Molly Bartrip,Crystal Palace,WSL_0284
Molly-Mae Sharpe,Crystal Palace,WSL_0130
My Cato,Crystal Palace,WSL_0128
Pauline Peyraud-Magnin,Crystal Palace,WSL_0382
Shae Yáñez,Crystal Palace,WSL_0142
Shannon O'Brien,Crystal Palace,WSL_0379
Sierra Enge,Crystal Palace,WSL_0343
Teyah Goldie,Crystal Palace,WSL_0200
Aurora Galli,Everton,WSL_0162
Clare Wheeler,Everton,WSL_0149
Courtney Brosnan,Everton,WSL_0144
Ellie Jones,Everton,WSL_0170
Hannah Blundell,Everton,WSL_0145
Hannah Cain,Everton,WSL_0357
Hikaru Kitagawa,Everton,WSL_0155
Holly McNamara,Everton,WSL_0366
Honoka Hayashi,Everton,WSL_0148
Inma Gabarro,Everton,WSL_0152
Jutta Rantala,Everton,WSL_0371
Karen Holmgaard,Everton,WSL_0165
Macy Settle,Everton,WSL_0168
Maz Pacheco,Everton,WSL_0169
Megan Finnigan,Everton,WSL_0160
Naomi Layzell,Everton,WSL_0225
Noémie Mouchon,Everton,WSL_0354
Ornella Vignola,Everton,WSL_0159
Rion Ishikawa,Everton,WSL_0146
Rosa van Gool,Everton,WSL_0150
Ruby Mace,Everton,WSL_0167
Yūka Momiki,Everton,WSL_0166
Zara Kramžar,Everton,WSL_0161
Alejandra Bernabé,Liverpool,WSL_0195
Alice Bergström,Liverpool,WSL_0192
Anna Jøsendal,Liverpool,WSL_0188
Aurélie Csillag,Liverpool,WSL_0193
Beata Olsson,Liverpool,WSL_0180
Ceri Holland,Liverpool,WSL_0186
Cornelia Kapocs,Liverpool,WSL_0177
Faye Kirby,Liverpool,WSL_0189
Fūka Nagano,Liverpool,WSL_0178
Grace Fisk,Liverpool,WSL_0174
Jenna Clark,Liverpool,WSL_0185
Jennifer Falk,Liverpool,WSL_0194
Khiara Keating,Liverpool,WSL_0248
Kirsty Maclean,Liverpool,WSL_0187
Lily Woodham,Liverpool,WSL_0184
Lucy Parry,Liverpool,WSL_0172
Mao Itamura,Liverpool,WSL_0365
Mari Ward,Liverpool,WSL_0342
Marie Höbinger,Liverpool,WSL_0182
Mia Enderby,Liverpool,WSL_0181
Rachael Laws,Liverpool,WSL_0171
Risa Shimizu,Liverpool,WSL_0175
Sam Kerr,Liverpool,WSL_0191
Sara Agrež,Liverpool,WSL_0336
Sofie Lundgaard,Liverpool,WSL_0183
Sophie Román Haug,Liverpool,WSL_0179
Vivien Endemann,Liverpool,WSL_0337
Zara Shaw,Liverpool,WSL_0196
Alanna Kennedy,London City Lionesses,WSL_0220
Alexia Putellas,London City Lionesses,WSL_0349
Daniela Arques,London City Lionesses,WSL_0377
Daniëlle van de Donk,London City Lionesses,WSL_0205
Delphine Cascarino,London City Lionesses,WSL_0212
Elena Linari,London City Lionesses,WSL_0207
Elene Lete,London City Lionesses,WSL_0222
Freya Godfrey,London City Lionesses,WSL_0208
Grace Geyoro,London City Lionesses,WSL_0223
Isa Kardinaal,London City Lionesses,WSL_0199
Isobel Goodwin,London City Lionesses,WSL_0214
Jana Fernández,London City Lionesses,WSL_0197
Janni Thomsen,London City Lionesses,WSL_0347
Kadidiatou Diani,London City Lionesses,WSL_0356
Kosovare Asllani,London City Lionesses,WSL_0204
Lucía Corrales,London City Lionesses,WSL_0202
Malou Marcetto,London City Lionesses,WSL_0218
Mapi León,London City Lionesses,WSL_0352
Mary Earps,London City Lionesses,WSL_0216
María Pérez,London City Lionesses,WSL_0201
Nicole Anyomi,London City Lionesses,WSL_0341
Nikita Parris,London City Lionesses,WSL_0210
Poppy Pattinson,London City Lionesses,WSL_0198
Rofiat Imuran,London City Lionesses,WSL_0215
Rosa Kafaji,London City Lionesses,WSL_0359
Saki Kumagai,London City Lionesses,WSL_0203
Sophia Poor,London City Lionesses,WSL_0221
Sophie Hillyerd,London City Lionesses,WSL_0217
Aemu Oyama,Manchester City,WSL_0246
Alex Greenwood,Manchester City,WSL_0227
Amelia Oldroyd,Manchester City,WSL_0255
Aoba Fujino,Manchester City,WSL_0240
Ayaka Yamashita,Manchester City,WSL_0247
Beth Mead,Manchester City,WSL_0229
Eartha Cumings,Manchester City,WSL_0224
Eve O'Carroll,Manchester City,WSL_0253
Freya Hirons,Manchester City,WSL_0256
Grace Clinton,Manchester City,WSL_0228
Gracie Prior,Manchester City,WSL_0245
Iman Beney,Manchester City,WSL_0242
Jade Rose,Manchester City,WSL_0226
Kerstin Casparij,Manchester City,WSL_0238
Khadija Shaw,Manchester City,WSL_0231
Laura Blindkilde Brown,Manchester City,WSL_0239
Laura Wienroither,Manchester City,WSL_0234
Lauren Hemp,Manchester City,WSL_0233
Lily Murphy,Manchester City,WSL_0251
Mary Fowler,Manchester City,WSL_0230
Mayzee Davies,Manchester City,WSL_0254
Millie Burton,Manchester City,WSL_0257
Niamh Charles,Manchester City,WSL_0117
Rebecca Knaak,Manchester City,WSL_0244
Sacha Lewis,Manchester City,WSL_0252
Sam Coffey,Manchester City,WSL_0237
Sydney Lohmann,Manchester City,WSL_0241
Vivianne Miedema,Manchester City,WSL_0232
Yui Hasegawa,Manchester City,WSL_0243
Andrea Medina,Manchester United,WSL_0339
Anna Sandberg,Manchester United,WSL_0259
Celin Bizet Dønnum,Manchester United,WSL_0271
Dominique Janssen,Manchester United,WSL_0273
Elisabeth Terland,Manchester United,WSL_0266
Ella Toone,Manchester United,WSL_0263
Ellen Wangerheim,Manchester United,WSL_0275
Fridolina Rolfö,Manchester United,WSL_0268
Hanna Lundkvist,Manchester United,WSL_0262
Hinata Miyazawa,Manchester United,WSL_0276
Janina Leitzig,Manchester United,WSL_0375
Jayde Riviere,Manchester United,WSL_0270
Jess Park,Manchester United,WSL_0264
Julia Zigiotti Olme,Manchester United,WSL_0274
Layla Drury,Manchester United,WSL_0280
Lea Schüller,Manchester United,WSL_0278
Leah Galton,Manchester United,WSL_0267
Maya Le Tissier,Manchester United,WSL_0261
Phallon Tullis-Joyce,Manchester United,WSL_0281
Safia Middleton-Patel,Manchester United,WSL_0279
Simi Awujo,Manchester United,WSL_0269
Alice Sombath,Tottenham Hotspur,WSL_0368
Amanda Nildén,Tottenham Hotspur,WSL_0285
Anna Csiki,Tottenham Hotspur,WSL_0292
Araya Dennis,Tottenham Hotspur,WSL_0302
Caitlin Dijkstra,Tottenham Hotspur,WSL_0305
Cathinka Tandberg,Tottenham Hotspur,WSL_0296
Clare Hunt,Tottenham Hotspur,WSL_0293
Drew Spence,Tottenham Hotspur,WSL_0299
Ella Morris,Tottenham Hotspur,WSL_0283
Eveliina Summanen,Tottenham Hotspur,WSL_0300
Hanna Wijk,Tottenham Hotspur,WSL_0298
Jessica Naz,Tottenham Hotspur,WSL_0286
Julie Blakstad,Tottenham Hotspur,WSL_0304
Kirsty Hanson,Tottenham Hotspur,WSL_0306
Lenna Gunning-Williams,Tottenham Hotspur,WSL_0295
Lize Kop,Tottenham Hotspur,WSL_0282
Maite Oroz,Tottenham Hotspur,WSL_0288
Matilda Nildén,Tottenham Hotspur,WSL_0291
Matilda Vinberg,Tottenham Hotspur,WSL_0290
Olga Ahtinen,Tottenham Hotspur,WSL_0297
Olivia Holdt,Tottenham Hotspur,WSL_0289
Selma Panengstuen,Tottenham Hotspur,WSL_0335
Shekiera Martinez,Tottenham Hotspur,WSL_0307
Signe Gaupset,Tottenham Hotspur,WSL_0287
Tōko Koga,Tottenham Hotspur,WSL_0303
Victoria Pelova,Tottenham Hotspur,WSL_0308
Constance Picaud,West Ham,WSL_0332
Eva Nyström,West Ham,WSL_0317
Ffion Morgan,West Ham,WSL_0322
Halle Houssein,West Ham,WSL_0327
Inès Belloumou,West Ham,WSL_0313
Jess Ziu,West Ham,WSL_0319
Jessie Stapleton,West Ham,WSL_0323
Katie O'Hanlon,West Ham,WSL_0326
Katie Zelem,West Ham,WSL_0315
Keira Flannery,West Ham,WSL_0328
Kinga Szemik,West Ham,WSL_0309
Laia Codina,West Ham,WSL_0003
Leila Wandeler,West Ham,WSL_0325
Megan Walsh,West Ham,WSL_0324
Nadine Riesen,West Ham,WSL_0333
Oona Siren,West Ham,WSL_0311
Rebekah Dowsett,West Ham,WSL_0330
Ria Bose,West Ham,WSL_0316
Riko Ueki,West Ham,WSL_0314
Selin Cemal,West Ham,WSL_0329
Seraina Piubel,West Ham,WSL_0331
Tuva Hansen,West Ham,WSL_0312
Viviane Asseyi,West Ham,WSL_0320
Ylinn Tennebø,West Ham,WSL_0318
Yu Endo,West Ham,WSL_0310
