player_id,goals,full_name
WSL_0231,4,Khadija Shaw
WSL_0289,3,Olivia Holdt
WSL_0110,2,Lauren James
WSL_0205,2,Daniëlle van de Donk
WSL_0055,2,Océane Hurtré
WSL_0230,2,Mary Fowler
WSL_0308,2,Victoria Pelova
WSL_0306,2,Kirsty Hanson
WSL_0337,2,Vivien Endemann
WSL_0320,2,Viviane Asseyi
WSL_0233,2,Lauren Hemp
WSL_0214,2,Isobel Goodwin
WSL_0174,2,Grace Fisk
WSL_0009,1,Smilla Holmberg
WSL_0095,1,Jodie Hutton
WSL_0069,1,Kiko Seike
WSL_0052,1,Lily Crosthwaite
WSL_0025,1,Lynn Wilms
WSL_0177,1,Cornelia Kapocs
WSL_0122,1,Lexi Potter
WSL_0107,1,Sjoeke Nüsken
WSL_0104,1,Ellie Carpenter
WSL_0226,1,Jade Rose
WSL_0192,1,Alice Bergström
WSL_0193,1,Aurélie Csillag
WSL_0197,1,Jana Fernández
WSL_0118,1,Lucy Bronze
WSL_0121,1,Keira Walsh
WSL_0274,1,Julia Zigiotti Olme
WSL_0265,1,Melvine Malard
WSL_0285,1,Amanda Nildén
WSL_0287,1,Signe Gaupset
WSL_0269,1,Simi Awujo
WSL_0307,1,Shekiera Martinez
WSL_0340,1,Amalie Vangsgaard
WSL_0341,1,Nicole Anyomi
WSL_0353,1,Lisa Baum
WSL_0358,1,Lexi Lloyd-Smith
