index,player_id,full_name,num_picks
22,WSL_0231,Khadija Shaw,9
31,WSL_0306,Kirsty Hanson,5
5,WSL_0018,Alessia Russo,4
34,WSL_0344,Georgia Stanway,4
38,WSL_0356,Kadidiatou Diani,3
1,WSL_0011,Mariona Caldentey,2
3,WSL_0015,Olivia Smith,2
23,WSL_0232,Vivianne Miedema,2
28,WSL_0264,Jess Park,2
29,WSL_0266,Elisabeth Terland,2
36,WSL_0349,Alexia Putellas,2
33,WSL_0341,Nicole Anyomi,2
19,WSL_0208,Freya Godfrey,2
15,WSL_0180,Beata Olsson,2
12,WSL_0111,Alyssa Thompson,2
0,WSL_0006,Katie McCabe,1
7,WSL_0020,Michelle Agyemang,1
6,WSL_0019,Stina Blackstenius,1
4,WSL_0016,Chloe Kelly,1
2,WSL_0012,Kim Little,1
14,WSL_0123,Aggie Beever-Jones,1
11,WSL_0095,Jodie Hutton,1
8,WSL_0038,Rachel Daly,1
9,WSL_0069,Kiko Seike,1
20,WSL_0210,Nikita Parris,1
21,WSL_0214,Isobel Goodwin,1
17,WSL_0185,Jenna Clark,1
18,WSL_0205,Daniëlle van de Donk,1
16,WSL_0181,Mia Enderby,1
10,WSL_0070,Fran Kirby,1
13,WSL_0118,Lucy Bronze,1
24,WSL_0233,Lauren Hemp,1
30,WSL_0289,Olivia Holdt,1
25,WSL_0238,Kerstin Casparij,1
26,WSL_0242,Iman Beney,1
27,WSL_0263,Ella Toone,1
35,WSL_0348,Selina Cerci,1
32,WSL_0338,Nadia Krezyman,1
37,WSL_0353,Lisa Baum,1
39,WSL_0366,Holly McNamara,1
